id	output
["0x5b8834AdADaC59e11f19940251e92Df338EF0620",999]	{"name": "HYPERFROG", "symbol": "FROG", "decimals": 18}
["0xB2C931950a543205119f5195486B881Fa1bA0122",999]	{"name": "HGold", "symbol": "Gold", "decimals": 18}
["0xf9c92b8fD6D393C697D7c5C4d1EB9Fc9de36AD23",999]	{"name": "Yamete", "symbol": "Yam", "decimals": 18}
["0xF46FF723F303BCD41d3be75aCe6a61CcE6d00ECE",999]	{"name": "ONEMFHYPE", "symbol": "OMH", "decimals": 18}
["0x6401d7a286eeea6e19f1578362E3A7dD40A6FB24",999]	{"name": "HypedHooni", "symbol": "HHOONI", "decimals": 18}
["0x704f96c3930B8226070d4eBEd8F8Db23FE106c83",999]	{"name": "pete", "symbol": "hypete", "decimals": 18}
["0x8B513fE966DB78cef06DA6e1814fEE8844b1e7c0",999]	{"name": "pete", "symbol": "hyperpete", "decimals": 18}
["0xCaCd825d554089Acb1A476fA48C5BA4f72Ce97af",999]	{"name": "Hypepe", "symbol": "HYPEPE", "decimals": 18}
["0x80474C38A7934FAb6feFb07cA35f4C1C688b0d4c",999]	{"name": "HyperCat", "symbol": "hcat", "decimals": 18}
["0x7d244ed0932F574140730867608081AB9A7dE237",999]	{"name": "JEFE", "symbol": "JEFE", "decimals": 18}
["0x97CFb56f775beeF8BEf077a4860075491d85220A",999]	{"name": "MILEISCAM", "symbol": "MILEI", "decimals": 18}
["0x71198E4c2e1D00bF4e985155682e39F1104Fc7Ed",999]	{"name": "FLY", "symbol": "FLY", "decimals": 8}
["0xA040eF774E0dD9CE1D329BB339EDAD31ED4800cC",999]	{"name": "Woah", "symbol": "WOAH", "decimals": 18}
["0xDBB5932064D3993781CF0dd8E78375867395F0a8",999]	{"name": "JEFE", "symbol": "JEFE", "decimals": 18}
["0xA9824a5765B1A2B39aa98Dc67046cc6BC2d8391e",999]	{"name": "JEFE", "symbol": "JEFE", "decimals": 18}
["0xA9939C9D43362b35D3A7f115b5FcCb01194Ed3f0",999]	{"name": "TRUMP", "symbol": "TRUMP", "decimals": 18}
["0xb02E4107adfF93F8a58126f56c85D2ea5C9A11d8",999]	{"name": "BUILD", "symbol": "BUILD", "decimals": 18}
["0xc4e3606831fD6146b2772939a360402d5B736848",999]	{"name": "Coffee", "symbol": "coffee", "decimals": 18}
["0xf77b19f1dEFB6bC05B7D197649F920f146f93590",999]	{"name": "TRUMP", "symbol": "TRUMP", "decimals": 18}
["0xEef2829fFf0A13c2A0F6d848b5b314BDC4Fe1a3e",999]	{"name": "TRUMP", "symbol": "TRUMP", "decimals": 18}
